,Unnamed: 0,dest,orig,1990,1995,2000,2005,2010,2015,2020
202,19565,RUS,ASM,959,1012,1029,541,43,43,41
203,36814,WSM,ASM,995,1506,2007,1889,1650,1379,1307
204,31573,ARG,AND,1,1,1,2,1,1,1
205,34626,AUS,AND,333,181,30,30,20,20,30
206,25415,AUT,AND,1,2,2,1,1,2,3
207,25668,BEL,AND,0,0,0,0,39,45,42
208,31754,BOL,AND,2,1,0,0,0,0,0
209,31979,BRA,AND,0,0,0,5,11,12,13
210,18368,BGR,AND,0,0,0,1,1,0,0
211,18607,CZE,AND,4,6,8,4,0,0,0
212,20406,DNK,AND,1,1,1,1,0,2,5
213,20657,EST,AND,0,0,0,0,0,0,1
214,20947,FIN,AND,1,1,1,2,2,1,2
215,25917,FRA,AND,1233,1273,1313,980,922,1020,1120
216,23499,GRC,AND,6,5,4,4,4,3,1
217,11127,GIN,AND,0,0,0,0,0,6,4
218,18852,HUN,AND,0,0,0,0,0,1,0
219,21186,ISL,AND,0,0,0,0,0,2,2
220,21410,IRL,AND,0,1,3,3,2,2,1
221,23807,ITA,AND,2,11,19,75,61,106,44
222,21710,LVA,AND,0,0,0,0,1,0,0
223,26357,LIE,AND,0,0,0,0,0,1,0
224,26534,LUX,AND,0,0,0,0,0,0,38
225,11454,MLT,AND,0,0,0,0,835,1027,1204
226,26813,NLD,AND,0,0,0,0,10,18,27
227,22100,NOR,AND,0,0,0,0,7,12,12
228,24326,PRT,AND,122,264,417,406,329,372,425
229,19327,ROU,AND,0,0,0,0,0,40,17
230,19762,SVK,AND,0,0,0,0,0,1,0
231,24909,ESP,AND,2008,2355,3717,4135,5578,5900,7964
232,22360,SWE,AND,0,0,1,1,1,4,4
233,27072,CHE,AND,20,25,32,38,43,94,119
234,22605,GBR,AND,6,15,26,39,41,48,53
235,31574,ARG,AGO,20,20,20,16,9,9,9
236,34627,AUS,AGO,310,370,420,450,530,560,602
237,25416,AUT,AGO,188,212,236,261,291,397,436
238,25669,BEL,AGO,1282,985,658,3201,4804,6327,7095
239,31755,BOL,AGO,6,5,4,5,5,7,6
240,9886,BWA,AGO,551,889,1320,1990,672,730,779
241,31980,BRA,AGO,4868,5612,6355,6418,6390,7533,8184
242,18369,BGR,AGO,4,4,4,5,6,8,15
243,10827,CPV,AGO,1588,1899,2209,1283,356,370,390
244,8159,CMR,AGO,0,0,0,2571,2046,2555,2976
245,33492,CAN,AGO,1266,1834,2446,2486,2565,3100,3358
246,8362,COG,AGO,10334,18270,31100,15550,31028,41238,40969
247,30424,CRI,AGO,4,2,2,2,4,3,3
248,28575,CUB,AGO,218,165,106,84,63,44,30
249,18608,CZE,AGO,33,50,67,129,178,168,161
250,8432,COD,AGO,468462,276402,325733,262144,259584,181954,177028
251,20407,DNK,AGO,48,77,106,129,145,164,169
252,32332,ECU,AGO,14,16,18,22,34,42,43
253,9037,EGY,AGO,23,21,21,25,27,19,28
254,6719,ERI,AGO,247,433,620,424,286,346,301
255,20658,EST,AGO,0,0,0,0,3,5,3
256,9968,SWZ,AGO,4,143,166,219,201,131,133
